team,seed,region,team_strength,adj_em,shooting_eff,scoring_balance,clutch_factor,sos,to_pct_adj,orb_pct,drb_pct,seed_score,top25_perf,ftr,ast_pct,spi,exp,dvi,opp_to_pct_adj,rpi_rim,eff_height_m,momentum,ctf,q1_record,q34_loss_rate,msrp,fragility,march_readiness,legacy_factor,net_rating,injury_rank,barthag,ppg,opp_ppg,z_rating,star_above_avg,consistency,cinderella,champ_pct
Santa Clara,10,Midwest,0.5533,19.4,0.5247,0.4678,0.773,24.15,0.1668,0.367,0.677,0.1,0.889,0.191,0.55,3.299,0.92,0.31,0.188,0.212,2.08,0.553,0.429,0.25,0.056,0.3,0.268,0.66,0.0,40,36,0.895,82.5,72.7,20.18,3.887,11.2,False,0.0
Texas,11,,0.55,19.0,0.5304,0.4792,0.567,37.67,0.1049,0.357,0.731,0.091,0.875,0.348,0.431,4.889,2.74,0.067,0.1955,0.182,2.07,0.376,0.629,0.4,0.091,0.1,0.314,0.591,-0.5,42,35,0.854,80.2,74.5,24.75,4.499,10.5,False,0.0
Missouri,10,West,0.5496,15.18,0.5373,0.4902,0.712,34.02,0.1366,0.355,0.686,0.1,1.0,0.292,0.506,4.257,2.2,0.117,0.2187,0.346,2.1,0.491,0.375,0.417,0.0,0.19,0.328,0.587,-0.6,58,49,0.851,76.7,72.6,21.84,3.463,11.3,False,0.0
Villanova,8,West,0.5415,19.7,0.5168,0.4567,0.824,30.12,0.1295,0.324,0.683,0.125,0.909,0.217,0.567,3.221,1.87,0.139,0.2181,0.09,2.05,0.552,0.4,0.25,0.067,0.09,0.3,0.663,0.3,35,44,0.881,74.6,68.4,22.53,1.745,9.0,False,0.0
Iowa,9,South,0.5382,22.44,0.548,0.4913,0.384,35.51,0.1105,0.301,0.72,0.111,0.818,0.266,0.58,5.968,1.45,0.174,0.2887,0.05,2.05,0.413,0.5,0.308,0.143,0.21,0.265,0.649,-0.6,27,23,0.907,74.5,65.4,25.53,4.435,10.4,False,0.0
NC State,11,,0.5369,19.6,0.536,0.4682,0.463,32.78,0.1032,0.285,0.697,0.091,0.917,0.27,0.548,4.311,2.19,0.169,0.231,0.218,2.01,0.346,0.438,0.385,0.1,0.39,0.258,0.625,0.4,36,38,0.877,82.2,75.2,23.29,3.322,13.4,False,0.0
UCF,10,East,0.5336,14.82,0.51,0.4663,0.703,33.92,0.1195,0.344,0.715,0.1,1.0,0.228,0.536,2.717,2.35,0.191,0.2075,0.24,2.08,0.502,0.556,0.385,0.0,-0.12,0.349,0.627,0.0,51,59,0.812,78.6,76.2,21.64,1.853,9.8,False,0.01
VCU,11,South,0.5304,17.21,0.5279,0.4603,0.604,19.63,0.2,0.323,0.701,0.091,1.0,0.323,0.527,2.76,1.62,0.321,0.1307,0.392,2.05,0.726,0.4,0.286,0.0,0.15,0.349,0.697,-0.4,43,45,0.843,80.8,70.8,17.61,2.128,7.3,False,0.0
McNeese State,12,South,0.5081,12.5,0.4964,0.4542,0.824,14.16,0.2608,0.35,0.65,0.083,0.667,0.283,0.492,2.655,1.92,0.766,0.1349,0.689,2.03,0.793,0.5,0.0,0.04,0.55,0.341,0.711,-0.0,56,63,0.764,75.6,65.9,13.58,3.027,9.9,False,0.0
Miami OH,11,,0.5011,8.26,0.5746,0.508,0.795,8.27,0.29,0.253,0.719,0.091,0.75,0.301,0.51,2.279,1.96,0.24,0.056,0.139,2.03,0.748,0.5,0.0,0.038,0.38,0.397,0.71,0.0,64,80,0.718,84.1,73.6,9.61,2.323,8.7,False,0.0
High Point,12,West,0.4843,8.4,0.5333,0.4736,0.826,5.67,0.26,0.321,0.683,0.083,0.0,0.318,0.527,2.583,2.23,0.376,0.048,0.418,2.02,0.875,0.5,0.0,0.069,0.77,0.356,0.705,-0.1,76,78,0.699,84.5,70.2,8.76,2.366,12.1,False,0.0
Akron,12,Midwest,0.4814,12.8,0.563,0.4981,0.829,11.16,0.31,0.335,0.701,0.083,0.0,0.219,0.574,3.06,1.66,0.14,0.0795,0.295,1.98,0.795,0.429,0.0,0.036,0.56,0.359,0.681,-0.1,54,60,0.773,85.7,73.6,12.67,2.881,9.3,False,0.0
Northern Iowa,12,East,0.4426,11.81,0.5202,0.4722,0.396,14.54,0.2593,0.22,0.737,0.083,0.444,0.179,0.571,1.466,1.94,0.501,0.1019,0.512,2.03,0.63,0.5,0.0,0.217,0.21,0.38,0.624,-0.0,72,62,0.774,67.2,60.4,13.4,3.011,10.7,False,0.0
Cal Baptist,13,East,0.4316,5.99,0.4724,0.4321,0.806,12.59,0.362,0.378,0.728,0.077,0.4,0.26,0.404,2.183,1.41,0.396,0.0834,0.565,2.07,0.701,0.5,0.0,0.115,0.22,0.442,0.653,0.0,98,114,0.689,70.6,65.3,10.1,2.52,9.2,False,0.0
Hofstra,13,Midwest,0.4145,9.49,0.4989,0.4351,0.568,11.97,0.322,0.349,0.695,0.077,0.222,0.247,0.485,2.792,1.53,0.339,0.0695,0.419,2.06,0.813,0.5,0.0,0.259,0.12,0.406,0.631,0.0,88,73,0.704,73.3,66.5,11.46,2.482,10.5,False,0.0
Hawaii,13,West,0.4112,5.97,0.5076,0.4571,0.813,10.05,0.378,0.314,0.75,0.077,0.0,0.313,0.499,1.895,1.75,0.414,0.0658,0.454,2.07,0.645,0.5,0.0,0.154,0.36,0.412,0.662,0.1,101,119,0.636,75.2,67.1,9.2,3.651,11.8,False,0.0
North Dakota State,14,East,0.4005,5.13,0.5151,0.4573,0.64,8.15,0.312,0.336,0.743,0.071,0.0,0.22,0.53,2.624,1.34,0.241,0.059,0.225,2.02,0.763,0.4,0.0,0.2,0.32,0.424,0.659,0.0,114,110,0.639,76.0,68.0,8.16,2.82,11.4,False,0.0
Troy,13,South,0.3796,1.72,0.5039,0.4435,0.754,11.32,0.34,0.348,0.684,0.077,0.231,0.268,0.57,2.599,1.28,0.354,0.0741,0.166,2.04,0.653,0.333,1.0,0.37,0.19,0.492,0.568,-0.0,125,111,0.544,72.9,69.4,7.74,2.805,11.5,False,0.0
Wright State,14,Midwest,0.3738,2.04,0.5283,0.483,0.572,9.83,0.326,0.332,0.708,0.071,0.0,0.283,0.47,1.615,1.2,0.294,0.0628,0.316,2.02,0.732,0.5,0.0,0.276,0.38,0.498,0.626,-0.0,127,147,0.587,77.3,72.9,7.36,2.296,9.9,False,0.0
Penn,14,South,0.3398,0.95,0.4867,0.4357,0.692,12.95,0.3071,0.303,0.695,0.071,0.167,0.245,0.526,1.88,1.24,0.33,0.0893,0.356,2.05,0.73,0.5,0.0,0.238,0.0,0.534,0.585,-0.0,148,163,0.531,74.2,73.0,8.19,2.431,8.8,False,0.0
Kennesaw State,14,West,0.3299,0.57,0.4955,0.4346,0.562,11.71,0.334,0.355,0.687,0.071,0.0,0.316,0.513,0.899,1.23,0.366,0.073,0.71,2.04,0.596,0.5,0.0,0.333,0.16,0.535,0.539,-0.0,155,162,0.534,79.2,77.1,7.35,2.223,10.3,False,0.0
Idaho,15,South,0.3204,1.53,0.5031,0.4381,0.526,11.3,0.3,0.289,0.758,0.067,0.0,0.254,0.445,0.886,1.58,0.096,0.0665,0.269,2.05,0.735,0.5,0.0,0.379,0.03,0.536,0.545,0.0,144,170,0.57,74.4,71.7,7.65,1.672,10.1,False,0.0
Tennessee State,15,Midwest,0.316,-1.83,0.4863,0.4493,0.731,8.74,0.33,0.349,0.701,0.067,0.125,0.256,0.454,1.717,1.68,0.268,0.0677,0.378,2.02,0.777,0.5,0.0,0.269,0.03,0.492,0.608,0.0,172,158,0.394,77.3,73.2,5.24,3.004,11.1,False,0.0
Howard,16,,0.3144,-3.19,0.4953,0.4469,0.528,8.61,0.396,0.366,0.68,0.062,0.143,0.328,0.611,1.83,1.33,0.446,0.071,0.343,2.0,0.736,0.4,0.0,0.25,0.38,0.499,0.564,-0.0,203,179,0.424,74.6,67.4,4.58,2.911,11.3,False,0.0
UMBC,16,,0.3141,-1.67,0.5222,0.4698,0.748,7.27,0.282,0.251,0.744,0.062,0.0,0.258,0.45,1.381,1.17,0.241,0.0428,0.226,2.02,0.811,0.333,0.0,0.154,0.2,0.486,0.616,0.2,196,161,0.456,74.3,67.0,4.8,2.187,11.5,False,0.0
Siena,16,East,0.3037,-2.1,0.4914,0.4565,0.682,6.83,0.32,0.319,0.71,0.062,0.0,0.263,0.53,2.145,1.16,0.278,0.0452,0.409,2.03,0.61,0.5,0.0,0.303,0.03,0.536,0.603,0.0,183,176,0.455,70.6,65.8,4.45,2.777,8.7,False,0.0
Furman,15,East,0.3021,-1.98,0.5286,0.471,0.364,7.38,0.356,0.31,0.725,0.067,0.0,0.224,0.558,1.627,1.17,0.292,0.0391,0.404,2.07,0.602,0.5,0.0,0.321,0.19,0.565,0.547,0.1,186,150,0.444,73.5,70.6,4.69,2.293,8.8,False,0.0
LIU Brooklyn,16,West,0.2796,-3.95,0.5149,0.4803,0.611,9.69,0.38,0.343,0.674,0.062,0.0,0.232,0.497,2.252,1.11,0.451,0.0709,0.476,2.0,0.681,0.5,0.0,0.2,0.18,0.534,0.599,-0.0,198,208,0.341,73.5,70.5,4.61,3.201,8.3,False,0.0
Queens,15,West,0.2534,-1.44,0.5484,0.4819,0.525,14.56,0.2625,0.304,0.67,0.067,0.0,0.272,0.545,1.954,1.31,0.091,0.0846,0.203,2.05,0.696,0.5,0.0,0.231,0.0,0.542,0.529,0.0,189,193,0.439,82.7,81.1,7.45,3.363,10.3,False,0.0
Lehigh,16,,0.1937,-10.37,0.5151,0.4633,0.683,9.48,0.35,0.228,0.683,0.062,0.0,0.235,0.543,1.585,1.27,0.242,0.0598,0.336,2.03,0.662,0.429,0.0,0.448,-0.09,0.578,0.483,0.1,275,273,0.252,70.3,72.6,1.65,4.146,8.7,False,0.0
Prairie View A&M,16,,0.1521,-10.69,0.4696,0.4274,0.464,10.93,0.32,0.271,0.652,0.062,0.0,0.322,0.442,0.088,1.01,0.24,0.0808,0.392,2.02,0.794,0.5,0.0,0.462,-0.16,0.557,0.47,0.0,300,295,0.254,73.5,76.2,2.01,2.075,10.1,False,0.0
