team,team2,seed,r32,s16,e8,f4,f2,champ,color_r32,color_s16,color_e8,color_f4,color_f2,color_champ
Saint Mary's,Saint Mary's,7,0.6271,0.1348,0.0453,0.012,0.003,0.0006,#FFC174,#FFF0DE,#FFF9F2,#FFFDFA,#FFFEFD,#FFFEFE
Miami (Fla.),Miami (Fla.),7,0.6669,0.1224,0.0454,0.0082,0.0014,0.0004,#FFBE6C,#FFF2E1,#FFF9F2,#FFFDFC,#FFFEFE,#FFFEFE
Kentucky,Kentucky,7,0.6172,0.136,0.0496,0.0061,0.0014,0.0003,#FFC277,#FFF0DE,#FFF9F1,#FFFEFC,#FFFEFE,#FFFEFE
Utah State,Utah State,9,0.5836,0.0716,0.0302,0.0088,0.0011,0.0003,#FFC67E,#FFF7ED,#FFFBF6,#FFFDFB,#FFFEFE,#FFFEFE
Texas Tech,Texas Tech,5,0.6697,0.241,0.0285,0.009,0.0022,0.0002,#FFBD6B,#FFE5C5,#FFFBF7,#FFFDFB,#FFFEFD,#FFFEFE
UCLA,UCLA,7,0.7124,0.21,0.0707,0.0098,0.0015,0.0002,#FFB962,#FFE8CC,#FFF6EC,#FFFDFB,#FFFEFE,#FFFEFE
Georgia,Georgia,8,0.5168,0.0402,0.0184,0.0046,0.0007,0.0002,#FFCC8D,#FFFAF5,#FFFCFA,#FFFEFD,#FFFEFE,#FFFEFE
BYU,BYU,6,0.4854,0.1225,0.0281,0.0046,0.0004,0.0001,#FFCF94,#FFF2E1,#FFFBF7,#FFFEFD,#FFFEFE,#FFFEFE
Iowa,Iowa,9,0.6023,0.0854,0.0336,0.0076,0.0016,0.0001,#FFC47A,#FFF5EA,#FFFBF6,#FFFDFC,#FFFEFE,#FFFEFE
Texas,Texas,11,0.2669,0.0745,0.0152,0.0021,0.0002,0.0001,#FFE5C4,#FFF7ED,#FFFDFA,#FFFEFE,#FFFEFE,#FFFEFE
Texas A&M,Texas A&M,10,0.3729,0.0429,0.0094,0.0018,0.0003,0.0001,#FFDAAC,#FFFAF4,#FFFDFC,#FFFEFE,#FFFEFE,#FFFEFE
