rank,name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus,players,color_O,color_D,color_Diff
868,Tobi Lawal,Virginia Tech,1.40256,0.939117,2.341677,1144,1.68988352074281,1.70413130999335,3.39401483073615,112.282338856943,105.772498301693,6.50984055525015,-22,1920043,#FFF1E0,#FFEFDA,#FFEFDC
869,Kowacie Reeves Jr.,Georgia Tech,1.6073,0.732232,2.339532,1566,2.55817807259971,1.05809583568277,3.61627390828248,105.069083023466,104.083364834095,0.985718189371032,-48,1689174,#FFEFDB,#FFF2E2,#FFEFDC
870,Arlandus Keyes,Mount St. Mary's,1.01113,1.3276,2.33873,1480,1.39460489310868,0.66933571365386,2.06394060676254,99.038801501247,104.919399952254,-5.88059845100737,-7,2306704,#FFF5E8,#FFE8CC,#FFEFDC
871,Kavion McClain,Monmouth,2.20898,0.121923,2.330903,664,2.59790079558373,-0.521096260084086,2.07680453549965,107.568201192867,101.796370276513,5.7718309163546,48,2125314,#FFE9CE,#FFFCFA,#FFEFDC
872,MJ Williams,Eastern Kentucky,2.04302,0.283263,2.326283,1248,2.44047874761344,0.998282208716507,3.43876095632995,107.791491941875,112.89867167042,-5.107179728545,-48,2550852,#FFEBD2,#FFFAF4,#FFEFDC
873,Vladimer Salaridze,Youngstown State,2.01788,0.30745,2.32533,740,2.7842774763845,0.62530376522637,3.40958124161087,106.084101217546,111.13148785408,-5.04738663653383,0,1945362,#FFEBD2,#FFF9F3,#FFEFDC
874,"Corey Floyd, Jr.",Providence,2.51764,-0.19445,2.32319,1107,1.13332506010298,0.333039084580489,1.46636414468347,120.635464625436,109.632409643037,11.0030549823983,28,1697099,#FFE6C7,#F6F9FC,#FFEFDC
875,Jaden Brownell,USC,1.60741,0.712198,2.319608,612,-0.0816724257804753,0.708786710399119,0.627114284618644,113.0177802509,102.677631227524,10.3401490233761,13,1701030,#FFEFDB,#FFF2E3,#FFEFDD
876,JJ Mandaquit,Washington,1.12136,1.19822,2.31958,738,2.08894416178692,0.67211685469279,2.76106101647971,109.401894575637,98.2025680809773,11.1993264946595,44,2532529,#FFF4E6,#FFEAD0,#FFEFDD
877,Cam Cole,Navy,0.579786,1.73811,2.317896,983,0.573295577896871,0.496699092442074,1.06999467033894,110.184327500303,97.3150946055244,12.8692328947782,239,2119569,#FFF9F2,#FFE1BC,#FFF0DD
878,Tyrin Jones,UNLV,1.1374,1.17479,2.31219,1374,0.966611716451702,2.40510890835395,3.37172062480565,111.6580133934,108.716634255719,2.94137913768084,-8,2550758,#FFF3E6,#FFEBD1,#FFF0DD
879,Kezza Giffa,Ole Miss,2.30488,0.0055505,2.3104305,740,1.56053434186725,0.584567816458657,2.14510215832591,112.769750296418,99.9825082939454,12.7872420024724,46,2110389,#FFE8CC,#FFFEFE,#FFF0DD
880,Kaden Cooper,Louisiana Tech,-0.312699,2.62005,2.307351,1110,-0.0977375355411117,1.84271652264071,1.7449789870996,98.3795485945389,100.247732178634,-1.86818358409486,24,2126317,#F5F9FC,#FFD29A,#FFF0DD
881,Evan Ipsaro,Miami (OH),2.5248,-0.220962,2.303838,524,2.78628934604051,-1.02479695716484,1.76149238887567,110.34501285197,101.708223465508,8.63678938646157,95,2137340,#FFE6C7,#F4F8FC,#FFF0DD
882,Johnny Kinziger,Illinois State,1.33928,0.963077,2.302357,1704,0.487049069297566,0.0881276346014791,0.575176703899045,106.854347538587,100.351037450978,6.50331008760958,130,2097921,#FFF1E1,#FFEEDA,#FFF0DD
883,Josh Baldwin,Cornell,1.97461,0.324131,2.298741,867,3.19042102892278,0.240865153160935,3.43128618208372,120.504455812087,109.573160460155,10.9312953519313,89,1936756,#FFEBD3,#FFF9F2,#FFF0DD
884,Jaden Toombs,SMU,1.89812,0.399285,2.297405,866,2.17053277141889,1.30503882583651,3.47557159725541,119.811115201335,104.927822558605,14.8832926427298,-26,2503228,#FFECD5,#FFF8EF,#FFF0DD
885,Connor Igoe,Columbia,1.56285,0.731539,2.294389,886,2.94588789266361,0.781374424982875,3.72726231764648,107.71835654956,105.837385538785,1.88097101077476,55,2492587,#FFEFDC,#FFF2E2,#FFF0DD
886,Dante Allen,Miami (Fla.),1.21312,1.07604,2.28916,1128,1.41058497273635,0.634031438913464,2.04461641164982,117.225070548021,97.3008086720929,19.9242618759284,101,2507062,#FFF3E4,#FFECD5,#FFF0DD
887,Nolan Hodge,UNC Wilmington,2.73622,-0.452547,2.283673,1651,3.27507174253006,-0.655876777227558,2.6191949653025,110.503901359031,104.907942124464,5.59595923456708,164,1909332,#FFE4C2,#EAF2F9,#FFF0DD
888,Tayshawn Comer,Nevada,1.72353,0.556707,2.280237,1446,1.57907216036721,0.395183479922991,1.9742556402902,111.922166834052,102.861170837219,9.06099599683277,114,1930391,#FFEED9,#FFF5E9,#FFF0DD
889,Corey Thomas,Bradley,0.900711,1.37847,2.279181,990,0.593249296823369,0.655285879627573,1.24853517645094,110.347480925743,101.699192126189,8.64828879955359,84,2269288,#FFF6EB,#FFE7CA,#FFF0DD
890,KyeRon Lindsay-Martin,UAB,2.03619,0.239129,2.275319,1098,1.61673414701832,0.163924540308964,1.78065868732728,114.23766763592,106.319219005082,7.91844863083786,92,1895175,#FFEBD2,#FFFAF5,#FFF0DD
891,Dasear Haskins,Saint Joseph's,1.28165,0.992865,2.274515,1482,1.91678163520175,0.573705633639658,2.49048726884141,107.001863593062,100.145440092843,6.85642350021916,88,2134484,#FFF2E2,#FFEED8,#FFF0DD
892,Aiden Tobiason,Temple,2.65492,-0.381891,2.273029,1818,2.81715775464021,0.0179934574716869,2.8351512121119,109.355431707418,108.690017749725,0.665413957692684,47,2287297,#FFE5C4,#EDF4F9,#FFF0DD
893,Jamari McDowell,Kansas,1.21283,1.05527,2.2681,980,1.04538531094207,0.858709453381351,1.90409476432342,115.815918867257,92.385850424389,23.4300684428675,107,2119860,#FFF3E4,#FFEDD6,#FFF0DD
894,Kellen Pickett,Wright State,0.826615,1.43757,2.264185,1266,0.611832124928434,1.2437086940923,1.85554081902073,111.34760215111,103.999777288509,7.34782486260088,143,2472215,#FFF6EC,#FFE6C7,#FFF0DD
895,Jurian Dixon,UC Irvine,1.49632,0.760345,2.256665,1768,2.02139853721859,-0.482160366466619,1.53923817075197,101.319193751721,95.9913605224094,5.32783322931137,167,2111158,#FFF0DE,#FFF2E1,#FFF0DD
896,Shammah Scott,Akron,3.10452,-0.856052,2.248468,1522,3.35825740719036,-1.30505617798887,2.05320122920149,118.650228511213,105.810053852826,12.8401746583871,237,1890656,#FFE0BA,#D7E6F3,#FFF0DE
897,Darryl Simmons II,Saint Bonaventure,3.22981,-0.997008,2.232802,2010,3.73788701733653,-0.708125011709499,3.02976200562703,112.032920002987,108.006885391585,4.02603461140212,63,2126150,#FFDFB8,#D1E2F1,#FFF0DE
898,Noah Ross,UNC Wilmington,1.38102,0.835111,2.216131,1470,1.01122631135911,-0.0177484668662151,0.993477844492891,110.761442080141,101.36290193952,9.39854014062089,189,1909333,#FFF1E0,#FFF0DE,#FFF0DE
899,Cliff Davis,James Madison,3.09331,-0.877455,2.215855,1710,3.01196655053599,-0.752641856010139,2.25932469452586,108.891770876701,109.853113110678,-0.961342233976947,85,2100338,#FFE0BB,#D6E6F3,#FFF0DE
900,Owen Dease,Valparaiso,2.07394,0.139771,2.213711,1456,2.26267077984636,-0.683508950002416,1.57916182984394,106.296937824102,103.304100250272,2.99283757382947,52,1695183,#FFEAD1,#FFFCF9,#FFF0DE
901,Cris Carroll,Youngstown State,0.860675,1.35288,2.213555,1558,1.7470938376782,0.882378426428402,2.6294722641066,103.22576591888,105.015521768247,-1.78975584936656,32,2311388,#FFF6EC,#FFE8CB,#FFF0DE
902,Jack Karasinski,Bellarmine,4.6805,-2.46872,2.21178,1507,4.77895918484281,-0.622263537228414,4.1566956476144,116.996271234778,123.897001714079,-6.90073047930104,-6,1890306,#FFD198,#8EB9DE,#FFF0DE
903,Gavin Walsh,UNC Wilmington,1.11069,1.09583,2.20652,550,0.270328206067137,-0.55514165796411,-0.284813451896972,117.649076659028,99.5260636454138,18.1230130136141,156,2119921,#FFF4E6,#FFECD4,#FFF0DE
904,Chandler Cuthrell,Elon,1.86698,0.339125,2.206105,1490,2.89085861788146,0.533901618322423,3.42476023620388,106.622052526393,111.31130275554,-4.68925022914757,5,2110183,#FFECD5,#FFF9F1,#FFF0DE
905,Marvin McGhee IV,UC Santa Barbara,1.71215,0.493346,2.205496,956,1.42159540025466,0.17932792702388,1.60092332727854,112.223660303711,106.686211983468,5.53744832024268,66,2303088,#FFEED9,#FFF6EC,#FFF0DE
906,Taylor Bol Bowen,Alabama,0.361454,1.8393,2.200754,950,0.585468456508326,2.11587938839644,2.70134784490476,119.960502807268,101.649363760907,18.3111390463611,7,2120172,#FFFBF7,#FFDFB8,#FFF0DE
907,Jalen Hampton,Arkansas State,1.565,0.632928,2.197928,1380,1.08129828671095,0.798017968778273,1.87931625548922,110.423867377337,106.54567669019,3.87819068714721,94,1926203,#FFEFDC,#FFF4E6,#FFF0DE
908,Jakobi Heady,Bethune-Cookman,2.49722,-0.302911,2.194309,1966,2.76234294730908,-0.824534729433372,1.93780821787571,102.787635679483,107.169503458383,-4.38186777889951,2,2100628,#FFE6C8,#F1F6FB,#FFF0DE
909,Liam Campbell,Saint Mary's,1.58116,0.610437,2.191597,754,2.08174451762547,-0.679670493566212,1.40207402405926,114.789218193728,95.4484632224128,19.3407549713156,132,2268747,#FFEFDC,#FFF4E7,#FFF0DE
910,Javan Simmons,Ohio,2.75724,-0.567201,2.190039,1428,2.42394981545103,0.0855626741583569,2.50951248960938,109.054508376392,112.575213344232,-3.52070496784065,-30,1891869,#FFE4C2,#E5EEF7,#FFF0DE
911,Austin Benigni,Navy,2.26233,-0.0804588,2.1818712,1884,2.08490339223257,-0.631847383753742,1.45305600847883,105.965055535669,103.084234312528,2.88082122314159,235,1913805,#FFE9CD,#FBFCFD,#FFF0DF
912,Dylan Williamson,Towson,2.33434,-0.152491,2.181849,1905,2.03544191520865,-0.502751611746348,1.5326903034623,102.764281675672,101.359690658697,1.40459101697519,47,1909402,#FFE8CB,#F8FAFC,#FFF0DF
913,Caleb Williams,Georgetown,1.88386,0.295835,2.179695,1656,2.66033443480981,0.553032997079395,3.21336743188921,110.827390841231,103.824277886717,7.00311295451364,-6,2313798,#FFECD5,#FFF9F3,#FFF0DF
