TEAM,GAME_PF,GAME_PA,GAME_PD,H1_PF,H1_PA,H1_PD,H2_PF,H2_PA,H2_PD
Grand Canyon,75.6,68.7,7.0,36.7,31.5,5.1,39.0,37.1,1.8
Green Bay,74.8,74.8,0.0,34.2,33.0,1.2,40.6,41.8,-1.3
Hampton,69.9,70.8,-0.8,32.3,34.1,-1.7,37.6,36.7,0.9
Harvard,70.1,66.7,3.4,31.9,31.3,0.6,38.2,35.4,2.8
Hawaii,79.6,69.7,9.9,36.2,31.6,4.6,43.4,38.1,5.3
High Point,90.0,70.3,19.7,43.9,32.6,11.4,46.1,37.7,8.4
Hofstra,75.6,66.1,9.6,36.3,31.5,4.7,39.4,34.5,4.8
Holy Cross,68.2,73.3,-5.1,30.9,35.0,-4.1,37.3,38.2,-1.0
Houston,77.1,62.9,14.3,38.1,30.1,8.1,39.0,32.8,6.2
Houston Christian,67.1,72.2,-5.1,31.1,34.7,-3.6,36.0,37.5,-1.5
Howard,77.5,67.8,9.7,36.2,31.4,4.8,41.3,36.4,4.9
IU Indy,83.5,88.3,-4.8,40.1,41.6,-1.6,43.5,46.7,-3.2
Idaho,78.7,72.6,6.1,36.5,33.0,3.5,42.1,39.6,2.5
Idaho State,74.5,76.2,-1.6,34.4,36.8,-2.3,40.1,39.4,0.7
Illinois,84.4,69.8,14.6,41.8,31.4,10.4,42.6,38.4,4.2
Illinois State,75.1,68.4,6.7,35.6,32.0,3.6,39.5,36.4,3.1
Incarnate Word,74.3,73.7,0.5,33.5,34.0,-0.6,40.8,39.7,1.1
Indiana,78.2,72.2,6.0,39.6,32.9,6.7,38.6,39.3,-0.7
Indiana State,73.6,74.5,-0.9,34.8,35.9,-1.2,38.8,38.5,0.3
Iona,73.8,73.1,0.7,35.0,33.3,1.7,38.8,39.8,-1.0
Iowa,74.9,65.7,9.2,35.6,29.5,6.1,39.3,36.2,3.1
Iowa State,81.8,65.1,16.6,40.0,31.2,8.9,41.8,34.0,7.8
Jackson State,70.2,83.8,-13.5,33.3,39.0,-5.7,36.9,44.8,-7.8
Jacksonville,73.1,73.4,-0.3,35.1,35.2,-0.1,38.0,38.2,-0.2
Jacksonville State,72.7,68.4,4.3,32.3,30.7,1.6,40.4,37.7,2.7
James Madison,74.5,73.8,0.7,34.8,34.0,0.8,39.7,39.8,-0.1
Kansas,75.6,69.4,6.2,37.0,32.7,4.3,38.6,36.7,1.9
Kansas City,69.3,83.9,-14.5,32.6,41.4,-8.7,36.7,42.5,-5.8
Kansas State,79.6,81.8,-2.3,37.6,39.3,-1.6,41.9,42.6,-0.7
Kennesaw State,83.4,76.1,7.3,40.1,36.3,3.7,43.3,39.8,3.5
Kent State,85.1,79.6,5.5,39.1,35.9,3.2,46.0,43.7,2.3
Kentucky,80.8,73.8,6.9,36.4,35.7,0.7,44.4,38.1,6.3
LSU,81.4,78.5,2.9,38.2,38.1,0.1,43.3,40.4,2.8
La Salle,67.1,74.1,-6.9,34.3,35.5,-1.2,32.8,38.6,-5.8
Lafayette,69.4,74.4,-5.0,32.2,35.2,-3.1,37.3,39.2,-1.9
Lamar,69.9,69.1,0.8,32.3,33.0,-0.6,37.6,36.2,1.4
Le Moyne,73.0,73.2,-0.2,34.3,34.8,-0.5,38.7,38.3,0.3
Lehigh,73.2,74.0,-0.7,34.1,33.6,0.4,39.2,40.3,-1.1
Liberty,78.2,70.4,7.8,37.7,32.4,5.3,40.5,38.0,2.5
Lindenwood,77.8,72.7,5.1,37.7,33.8,3.9,40.1,38.9,1.2
Lipscomb,79.6,75.7,3.9,35.9,35.2,0.7,43.8,40.5,3.3
Long Beach State,74.9,77.8,-2.9,34.1,36.5,-2.4,40.8,41.3,-0.5
Long Island,74.1,71.1,3.0,35.4,35.4,-0.1,38.7,35.7,3.1
Longwood,77.7,74.1,3.6,36.6,33.2,3.4,41.1,40.8,0.3
Louisiana,63.7,70.7,-7.0,28.9,32.0,-3.1,34.8,38.6,-3.9
Louisiana Tech,69.9,65.0,4.9,32.9,30.4,2.5,36.9,34.6,2.3
Louisville,84.8,72.2,12.6,41.5,33.2,8.3,43.3,39.0,4.3
Loyola,66.8,75.8,-9.0,32.1,37.7,-5.6,34.7,38.1,-3.4
Loyola (MD),75.2,77.1,-1.8,34.2,37.3,-3.1,41.1,39.8,1.3
Loyola Marymount,74.3,72.1,2.2,33.7,34.3,-0.5,40.5,37.8,2.7
Maine,62.5,68.4,-5.9,29.0,33.3,-4.3,33.5,35.1,-1.6
Manhattan,74.0,78.9,-4.9,33.3,37.1,-3.8,40.7,41.8,-1.2
Marist,69.7,63.8,5.8,34.1,29.5,4.6,35.5,34.3,1.3
Marquette,75.2,75.8,-0.6,35.9,36.5,-0.6,39.2,39.3,0.0
Marshall,81.1,78.0,3.1,36.5,38.6,-2.1,44.6,39.4,5.2
Maryland,69.7,76.6,-6.9,32.3,34.8,-2.5,37.4,41.8,-4.4
McNeese State,80.0,66.5,13.6,38.8,29.9,8.9,41.2,36.5,4.7
Memphis,75.2,76.7,-1.5,34.4,35.8,-1.4,40.8,40.9,-0.1
Mercer,82.7,75.5,7.2,40.5,34.9,5.6,42.2,40.6,1.6
Mercyhurst,69.3,67.4,1.9,32.4,30.6,1.9,36.9,36.8,0.1
Merrimack,68.5,66.5,2.1,33.3,31.1,2.2,35.2,35.4,-0.1
Miami,81.9,71.2,10.8,39.5,35.3,4.2,42.4,35.9,6.5
Miami Ohio,90.7,75.3,15.4,44.4,34.2,10.2,46.3,41.1,5.3
Michigan,86.8,69.2,17.6,43.4,33.3,10.1,43.4,35.9,7.5
Michigan State,78.9,68.4,10.5,37.0,32.7,4.3,42.0,35.7,6.3
Middle Tennessee,75.4,72.8,2.7,35.9,34.1,1.8,39.6,38.7,0.9
Milwaukee,76.3,79.6,-3.4,35.6,39.2,-3.6,40.7,40.4,0.3
Minnesota,70.0,68.5,1.5,33.3,30.0,3.3,36.8,38.5,-1.8
Mississippi State,77.6,81.8,-4.2,36.1,38.8,-2.7,41.5,43.0,-1.5
Mississippi Valley State,64.2,83.0,-18.8,29.0,39.9,-10.9,35.3,43.1,-7.8
Missouri,79.7,75.3,4.3,37.9,34.8,3.2,41.7,40.6,1.2
Missouri State,75.0,73.6,1.4,35.3,34.1,1.1,39.8,39.4,0.3
Monmouth,72.7,70.9,1.8,35.4,32.8,2.6,37.2,38.0,-0.8
Montana,77.3,74.6,2.7,35.3,32.9,2.4,42.0,41.6,0.4
Montana State,77.9,71.4,6.5,37.1,32.5,4.6,40.8,38.9,1.9
Morehead State,75.3,74.7,0.5,35.4,35.8,-0.4,39.8,38.9,1.0
Morgan State,75.3,78.2,-3.0,34.2,38.1,-3.9,41.1,40.2,0.9
Mount St. Mary's,68.1,70.1,-2.1,32.5,34.0,-1.5,35.5,36.1,-0.6
Murray State,83.3,79.9,3.4,39.3,36.0,3.3,44.0,43.9,0.1
NC State,83.7,76.5,7.2,38.6,34.6,4.0,45.1,41.9,3.2
NJIT,67.0,73.2,-6.2,31.4,33.4,-2.0,35.6,39.8,-4.2
Navy,74.7,63.8,10.9,35.0,30.1,4.9,39.7,33.7,6.0
Nebraska,77.3,66.2,11.1,35.3,31.9,3.4,41.9,34.3,7.6
Nevada,75.9,71.6,4.4,32.9,32.6,0.3,43.0,38.9,4.1
New Hampshire,69.2,74.6,-5.4,33.4,34.8,-1.5,35.8,39.8,-3.9
New Haven,64.9,66.3,-1.4,31.4,32.6,-1.2,33.6,33.7,-0.1
New Mexico,80.5,70.8,9.7,36.3,32.7,3.6,44.2,38.1,6.1
New Mexico State,75.1,72.0,3.1,34.3,33.5,0.8,40.8,38.5,2.3
New Orleans,75.7,77.5,-1.8,36.4,35.4,0.9,39.4,42.1,-2.7
Niagara,63.9,71.2,-7.4,29.9,33.2,-3.3,33.9,38.0,-4.1
Nicholls State,72.4,74.9,-2.5,32.3,35.3,-3.0,40.1,39.6,0.5
Norfolk State,76.4,73.8,2.6,36.0,35.2,0.8,40.4,38.6,1.8
North Alabama,69.4,77.6,-8.2,32.1,35.3,-3.2,37.3,42.3,-5.0
North Carolina,79.8,71.3,8.5,38.5,35.3,3.3,41.3,36.1,5.2
North Carolina A&T,75.1,77.8,-2.8,35.0,39.2,-4.2,40.1,38.6,1.5
North Carolina Central,71.8,75.5,-3.6,31.9,35.2,-3.3,39.9,40.3,-0.4
North Dakota,76.6,77.3,-0.7,36.2,37.5,-1.3,40.4,39.8,0.6
North Dakota State,80.7,69.6,11.1,39.3,32.3,7.0,41.5,37.3,4.2
North Florida,79.6,88.2,-8.6,37.5,41.3,-3.8,42.1,46.8,-4.7
North Texas,70.9,67.4,3.5,31.5,29.8,1.8,39.4,37.7,1.8
Northeastern,74.9,81.0,-6.1,33.9,37.5,-3.6,41.0,43.5,-2.5
Northern Arizona,71.3,76.4,-5.1,34.4,36.5,-2.1,36.9,39.9,-3.0
Northern Colorado,82.5,76.5,6.0,38.1,34.1,4.0,44.4,42.4,1.9
Northern Illinois,69.5,77.8,-8.3,32.8,38.4,-5.6,36.7,39.4,-2.7
Northern Iowa,69.9,61.3,8.7,33.6,29.5,4.1,36.3,31.8,4.5
Northern Kentucky,83.1,77.5,5.7,39.4,35.6,3.8,43.8,41.9,1.9
Northwestern,73.1,72.0,1.2,34.5,35.2,-0.6,38.6,36.8,1.8
Northwestern State,68.3,72.4,-4.1,31.1,36.1,-4.9,37.2,36.3,0.8
Notre Dame,73.4,74.3,-0.9,33.4,35.2,-1.8,40.0,39.1,0.9
Oakland,82.6,81.7,0.9,39.6,39.8,-0.2,42.9,41.8,1.1
Ohio,77.9,78.6,-0.7,36.1,37.1,-1.1,41.8,41.5,0.3
Ohio State,79.8,72.8,7.0,37.9,34.1,3.8,41.8,38.7,3.2
Oklahoma,82.7,77.1,5.6,40.0,37.3,2.7,42.7,39.8,3.0
Oklahoma State,84.3,82.9,1.4,40.1,40.4,-0.4,44.2,42.5,1.7
Old Dominion,76.2,77.9,-1.7,35.7,35.4,0.3,40.5,42.5,-2.0
Ole Miss,75.9,76.1,-0.2,33.8,33.9,-0.1,42.1,42.2,-0.1
Omaha,76.0,76.4,-0.5,37.4,36.0,1.4,38.6,40.4,-1.8
Oral Roberts,73.3,77.5,-4.2,34.4,37.7,-3.3,38.9,39.8,-0.9
Oregon,70.8,73.9,-3.1,33.4,34.6,-1.2,37.5,39.4,-1.9
Oregon State,71.1,74.2,-3.0,32.5,35.5,-2.9,38.6,38.7,-0.1
Pacific,72.7,68.8,3.9,34.8,32.6,2.3,37.8,36.2,1.6
Penn,76.1,73.3,2.8,36.3,35.5,0.8,39.8,37.8,2.0
Penn State,73.7,79.3,-5.7,32.9,38.6,-5.7,40.8,40.8,0.0
Pepperdine,72.3,79.6,-7.3,34.9,37.7,-2.8,37.3,41.8,-4.5
Pittsburgh,69.3,71.2,-1.9,33.1,34.1,-0.9,36.2,37.1,-1.0
Portland,74.4,78.5,-4.1,35.1,36.8,-1.7,39.3,41.7,-2.4
Portland State,76.6,70.3,6.4,33.4,31.0,2.5,43.2,39.3,3.9
Prairie View A&M,78.9,76.1,2.8,37.8,38.1,-0.3,41.1,37.9,3.1
Presbyterian,72.4,72.2,0.2,32.2,34.7,-2.5,40.1,37.5,2.6
Princeton,68.6,72.0,-3.4,31.9,33.5,-1.6,36.7,38.4,-1.8
Providence,85.3,84.0,1.3,38.3,38.1,0.2,47.0,45.9,1.1
Purdue,81.7,70.1,11.5,39.9,32.8,7.1,41.8,37.4,4.4
Purdue - Fort Wayne,78.1,77.1,1.0,36.2,38.2,-2.0,41.9,38.9,3.0
Queens-Charlotte,84.9,82.9,1.9,39.8,39.7,0.0,45.1,43.2,1.9
Quinnipiac,75.3,72.0,3.4,36.2,34.8,1.4,39.1,37.2,2.0
Radford,81.4,78.8,2.5,39.0,34.9,4.1,42.4,43.9,-1.5
Rhode Island,69.9,68.2,1.7,32.1,33.0,-0.9,37.8,35.2,2.6
Rice,73.9,74.5,-0.6,34.9,32.8,2.1,39.0,41.7,-2.7
Richmond,76.7,73.9,2.8,36.6,36.3,0.3,40.1,37.6,2.5
Rider,63.4,76.0,-12.6,29.7,37.1,-7.4,33.7,38.9,-5.1
Robert Morris,77.4,72.1,5.3,37.1,34.2,2.9,40.3,37.9,2.4
Rutgers,70.6,75.1,-4.5,31.0,35.4,-4.4,39.6,39.7,-0.2
SE Missouri State,74.5,70.6,3.9,35.2,33.8,1.3,39.4,36.8,2.6
SIU-Edwardsville,71.0,64.7,6.3,33.5,31.1,2.3,37.5,33.6,3.9
SMU,84.2,77.6,6.6,39.9,37.1,2.8,44.3,40.5,3.8
Sacramento State,77.7,82.0,-4.3,36.2,40.0,-3.8,41.5,42.0,-0.5
Sacred Heart,75.2,76.6,-1.4,37.0,36.8,0.2,38.2,39.8,-1.6
Saint Francis (PA),71.5,81.0,-9.5,34.7,38.6,-3.9,36.7,42.4,-5.6
Saint Joseph's,73.3,69.9,3.4,36.0,31.5,4.5,37.3,38.4,-1.1
Saint Louis,87.2,69.5,17.7,41.3,33.1,8.2,46.0,36.4,9.5
Saint Mary's,78.2,64.6,13.6,37.6,31.0,6.6,40.6,33.6,7.0
Sam Houston State,82.2,74.2,8.1,39.0,33.4,5.6,43.2,40.8,2.5
Samford,78.9,75.3,3.6,37.1,37.3,-0.3,41.8,37.9,3.9
San Diego,74.5,77.9,-3.4,34.6,34.7,-0.1,39.9,43.2,-3.3
San Diego State,78.2,71.0,7.2,38.4,32.2,6.2,39.8,38.8,1.1
San Francisco,74.7,73.2,1.5,34.1,32.8,1.2,40.6,40.3,0.3
San Jose State,72.0,78.5,-6.5,35.2,38.7,-3.5,36.8,39.8,-3.0
Santa Clara,82.9,72.4,10.4,40.2,32.9,7.4,42.6,39.6,3.0
Seattle,71.9,67.0,4.9,35.2,31.5,3.8,36.7,35.5,1.1
Seton Hall,70.3,65.3,5.0,31.6,31.7,-0.1,38.7,33.6,5.1
Siena,70.5,65.7,4.9,34.2,31.9,2.3,36.4,33.8,2.5
South Alabama,74.6,69.8,4.8,33.8,32.4,1.4,40.8,37.4,3.4
South Carolina,74.9,76.5,-1.5,35.2,35.2,0.0,39.8,41.3,-1.6
South Carolina State,67.1,78.8,-11.7,30.7,35.8,-5.1,36.4,43.0,-6.6
South Dakota,79.6,80.2,-0.6,37.8,38.0,-0.2,41.8,42.2,-0.4
South Dakota State,75.4,72.8,2.6,36.0,35.0,1.0,39.4,37.9,1.5
Southeastern Louisiana,65.0,70.5,-5.4,30.8,34.0,-3.2,34.2,36.5,-2.2
Southern Illinois,73.0,69.6,3.4,33.2,31.8,1.4,39.8,37.8,2.0
Southern Indiana,68.7,73.7,-5.0,33.3,34.3,-1.0,35.4,39.3,-3.9
Southern Miss,74.7,73.9,0.9,33.7,33.5,0.1,41.0,40.3,0.7
Southern University,79.6,77.9,1.7,38.3,35.1,3.1,41.4,42.8,-1.4
Southern Utah,76.3,79.5,-3.2,36.6,39.5,-2.9,39.8,40.0,-0.3
St. Bonaventure,76.4,74.5,1.9,35.2,36.2,-1.0,41.2,38.3,2.9
St. John's,81.6,70.0,11.6,39.7,33.5,6.2,41.9,36.5,5.4
St. Peter's,70.8,68.4,2.4,33.4,32.7,0.8,37.4,35.8,1.6
St. Thomas (MN),82.7,71.7,11.0,39.9,33.1,6.9,42.7,38.6,4.1
Stanford,75.0,71.6,3.3,35.0,34.1,0.9,39.9,37.5,2.4
Stephen F. Austin,76.4,65.9,10.4,37.1,30.0,7.1,39.2,35.9,3.3
Stetson,73.7,79.7,-6.1,34.9,38.3,-3.3,38.7,41.5,-2.7
Stonehill,66.4,68.6,-2.2,30.3,30.7,-0.4,36.1,37.9,-1.8
Stony Brook,71.7,71.2,0.6,35.3,32.9,2.4,36.4,38.3,-1.9
Syracuse,75.0,74.3,0.8,35.3,33.3,2.1,39.7,41.0,-1.3
TCU,78.3,72.1,6.2,35.9,35.5,0.4,42.4,36.5,5.9
Tarleton State,74.5,73.4,1.1,35.5,34.6,0.9,39.0,38.8,0.2
Temple,73.9,70.8,3.2,34.3,31.5,2.8,39.6,39.3,0.3
Tennessee,79.5,69.4,10.1,37.5,30.6,6.8,42.0,38.8,3.2
Tennessee State,80.5,73.3,7.2,37.6,34.9,2.7,43.0,38.4,4.5
Tennessee Tech,73.3,74.5,-1.2,33.0,33.5,-0.5,40.3,41.0,-0.7
Texas,83.8,76.8,7.0,38.1,35.8,2.3,45.7,41.0,4.6
Texas A&M,87.7,79.6,8.2,40.5,35.5,5.0,47.2,44.0,3.2
Texas A&M C.C.,72.5,67.7,4.8,33.8,31.5,2.4,38.7,36.2,2.4
Texas Southern,75.0,78.0,-2.9,34.3,37.7,-3.4,40.7,40.3,0.4
Texas State,73.9,71.0,2.9,34.8,33.1,1.7,39.1,37.8,1.2
Texas Tech,80.4,72.6,7.8,42.1,35.7,6.4,38.3,37.0,1.4
The Citadel,70.4,77.5,-7.2,33.6,36.9,-3.3,36.8,40.6,-3.8
Toledo,81.0,76.6,4.4,38.9,35.9,3.1,42.1,40.7,1.4
Towson,69.2,66.1,3.1,31.8,31.7,0.1,37.4,34.4,3.0
Troy,80.3,73.1,7.2,36.4,31.5,4.9,43.9,41.6,2.2
Tulane,72.4,75.5,-3.2,33.3,34.9,-1.6,39.1,40.6,-1.5
Tulsa,85.6,73.0,12.6,40.2,33.8,6.4,45.4,39.2,6.2
UAB,79.2,73.8,5.4,37.3,34.4,2.9,41.9,39.4,2.5
UC Davis,77.6,75.1,2.5,35.4,33.7,1.8,42.2,41.4,0.8
UC Irvine,77.4,68.4,9.0,36.7,31.1,5.6,40.7,37.3,3.4
UC Riverside,72.9,77.9,-4.9,34.9,37.0,-2.0,38.0,40.9,-2.9
UC-San Diego,75.7,70.3,5.4,35.3,31.3,4.0,40.4,39.0,1.4
UCF,81.0,78.5,2.5,37.6,37.1,0.5,43.4,41.4,2.0
UCLA,77.7,71.0,6.7,37.2,33.0,4.2,40.5,38.0,2.6
UCSB,77.6,72.8,4.8,36.7,32.4,4.3,40.9,40.3,0.6
UIC,75.5,70.0,5.5,35.2,31.5,3.7,40.3,38.4,1.9
ULM,72.4,83.9,-11.5,34.8,40.4,-5.6,37.7,43.5,-5.8
UMBC,76.2,67.0,9.2,35.7,31.3,4.3,40.5,35.7,4.9
UMES,64.4,70.8,-6.4,29.3,32.3,-2.9,35.1,38.5,-3.5
